AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1998|8|Dissolved Oxygen|All|Field|4|4.7|7.3|5.8|5.9|1.07082522694727|69
1|Alligator Harbor Aquatic Preserve|1998|10|Dissolved Oxygen|All|Field|4|7.5|8.2|7.95|7.9|0.294392028877595|69
1|Alligator Harbor Aquatic Preserve|1998|11|Dissolved Oxygen|All|Field|41|5.9|8.9|7.7|7.50243902439024|0.808235053953381|69, 5002
1|Alligator Harbor Aquatic Preserve|1998|12|Dissolved Oxygen|All|Field|172|6|9.7|7.55|7.74360465116279|0.627549607164186|5002
1|Alligator Harbor Aquatic Preserve|1999|1|Dissolved Oxygen|All|Field|38|8.9|10.2|9.5|9.53157894736842|0.289552556175992|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|2|Dissolved Oxygen|All|Field|137|6.4|10.8|8.7|8.60729927007299|0.9717808876503|5002
1|Alligator Harbor Aquatic Preserve|1999|3|Dissolved Oxygen|All|Field|145|5.9|9.6|8.2|8.14344827586207|0.780563702388594|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|4|Dissolved Oxygen|All|Field|217|5.1|9.9|7.1|7.13410138248848|0.869566861552947|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|5|Dissolved Oxygen|All|Field|114|5.5|9.8|6.9|6.96491228070175|0.61944629230579|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|6|Dissolved Oxygen|All|Field|85|4.6|7.8|7|6.86705882352941|0.535721195100168|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|7|Dissolved Oxygen|All|Field|140|4.8|9.6|6.9|7.06428571428571|1.04054989810289|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|8|Dissolved Oxygen|All|Field|151|2.9|11.3|7.2|7.30066225165563|1.16981461145156|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|9|Dissolved Oxygen|All|Field|140|5.6|9.9|7.8|7.70357142857143|1.06739855308139|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|10|Dissolved Oxygen|All|Field|108|5.1|10.7|7.25|7.49722222222222|1.3182726118401|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|11|Dissolved Oxygen|All|Field|77|7.1|11.4|9.7|9.62337662337662|0.874927982584567|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|12|Dissolved Oxygen|All|Field|39|7.5|10.7|10.1|9.99487179487179|0.649675513317678|69, 5002
1|Alligator Harbor Aquatic Preserve|2000|1|Dissolved Oxygen|All|Field|42|8.4|9.9|9.4|9.38809523809524|0.382675039466164|69, 5002
1|Alligator Harbor Aquatic Preserve|2000|2|Dissolved Oxygen|All|Field|87|9.1|12.4|10.4|10.4448275862069|0.625942753287346|69, 5002
1|Alligator Harbor Aquatic Preserve|2000|3|Dissolved Oxygen|All|Field|41|7.1|11.1|9.1|9.14878048780488|0.962060796212878|69, 5002
1|Alligator Harbor Aquatic Preserve|2000|4|Dissolved Oxygen|All|Field|8|7|7.6|7.15|7.25|0.250713268211203|69
1|Alligator Harbor Aquatic Preserve|2000|5|Dissolved Oxygen|All|Field|4|6.6|7.6|7.4|7.25|0.450924975282289|69
1|Alligator Harbor Aquatic Preserve|2000|6|Dissolved Oxygen|All|Field|27|5.6|7.5|6.7|6.70740740740741|0.50757790302113|69, 5002
1|Alligator Harbor Aquatic Preserve|2000|7|Dissolved Oxygen|All|Field|77|4.3|8.9|7.5|6.83766233766234|1.55563821401539|69, 5002
1|Alligator Harbor Aquatic Preserve|2000|8|Dissolved Oxygen|All|Field|31|6.2|9.7|7.6|7.80967741935484|0.909342194009742|69, 5002
1|Alligator Harbor Aquatic Preserve|2000|9|Dissolved Oxygen|All|Field|7|6.7|8.9|8.1|7.84285714285714|0.816204922914875|69
1|Alligator Harbor Aquatic Preserve|2000|10|Dissolved Oxygen|All|Field|68|8|10.4|9.25|9.19558823529412|0.561031518929784|5002
1|Alligator Harbor Aquatic Preserve|2000|11|Dissolved Oxygen|All|Field|9|8.5|10.2|9.2|9.28888888888889|0.654683978046745|69
1|Alligator Harbor Aquatic Preserve|2000|12|Dissolved Oxygen|All|Field|2|8.6|8.7|8.65|8.65|0.0707106781186545|69
1|Alligator Harbor Aquatic Preserve|2001|1|Dissolved Oxygen|All|Field|2|9.1|9.5|9.3|9.3|0.282842712474619|69
