AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|2001|Colored dissolved organic matter, CDOM|All|Lab|18|4|24|12|12.6666666666667|5.09901951359278|514
1|Alligator Harbor Aquatic Preserve|2002|Colored dissolved organic matter, CDOM|All|Lab|18|4|14|6.5|7.77777777777778|3.26398449310683|514
1|Alligator Harbor Aquatic Preserve|2003|Colored dissolved organic matter, CDOM|All|Lab|6|15|39|23.5|24.1666666666667|8.32866535926775|514
1|Alligator Harbor Aquatic Preserve|2006|Colored dissolved organic matter, CDOM|All|Lab|7|3|11|4|5.57142857142857|2.8784916685157|514
1|Alligator Harbor Aquatic Preserve|2007|Colored dissolved organic matter, CDOM|All|Lab|27|2|20|7|9.18518518518519|4.95391870556134|514
1|Alligator Harbor Aquatic Preserve|2008|Colored dissolved organic matter, CDOM|All|Lab|27|5|11|7|6.85185185185185|1.74760723680438|514
1|Alligator Harbor Aquatic Preserve|2009|Colored dissolved organic matter, CDOM|All|Lab|21|2|13|6|7.71428571428571|4.02669662555869|514
1|Alligator Harbor Aquatic Preserve|2010|Colored dissolved organic matter, CDOM|All|Lab|28|5|16|9|9.07142857142857|2.98053650935497|514
1|Alligator Harbor Aquatic Preserve|2011|Colored dissolved organic matter, CDOM|All|Lab|14|0|5|3|3|1.35873244097351|514
1|Alligator Harbor Aquatic Preserve|2016|Colored dissolved organic matter, CDOM|All|Lab|7|13|17|15|15.1428571428571|1.67616341969505|514
1|Alligator Harbor Aquatic Preserve|2017|Colored dissolved organic matter, CDOM|All|Lab|28|4|21|7|8.75|4.74244037819568|514
1|Alligator Harbor Aquatic Preserve|2018|Colored dissolved organic matter, CDOM|All|Lab|28|4|16|8|8.53571428571429|3.20280135318076|514
1|Alligator Harbor Aquatic Preserve|2019|Colored dissolved organic matter, CDOM|All|Lab|27|5|26|9|11|5.89654396822671|514
1|Alligator Harbor Aquatic Preserve|2020|Colored dissolved organic matter, CDOM|All|Lab|42|3|14|7|7.38095238095238|3.14644500095244|514
1|Alligator Harbor Aquatic Preserve|2021|Colored dissolved organic matter, CDOM|All|Lab|14|5|14|9|9.85714285714286|3.3935944832115|514
1|Alligator Harbor Aquatic Preserve|2022|Colored dissolved organic matter, CDOM|All|Lab|14|7|13|9|9|1.61721508012528|514
5|Big Bend Seagrasses Aquatic Preserve|2001|Colored dissolved organic matter, CDOM|All|Lab|51|0|76|6|15.1176470588235|17.0407124954604|514
5|Big Bend Seagrasses Aquatic Preserve|2002|Colored dissolved organic matter, CDOM|All|Lab|46|0|25|7|8.23913043478261|6.52238805145169|514
5|Big Bend Seagrasses Aquatic Preserve|2003|Colored dissolved organic matter, CDOM|All|Lab|35|2|141|12|28.4571428571429|38.7095845078852|514
5|Big Bend Seagrasses Aquatic Preserve|2004|Colored dissolved organic matter, CDOM|All|Lab|21|2|36|7|13.2857142857143|12.4384197434516|514
5|Big Bend Seagrasses Aquatic Preserve|2005|Colored dissolved organic matter, CDOM|All|Lab|34|2|119|16|28.1176470588235|32.933141367876|514
5|Big Bend Seagrasses Aquatic Preserve|2006|Colored dissolved organic matter, CDOM|All|Lab|33|1|42|4|7.81818181818182|10.5429317123326|514
5|Big Bend Seagrasses Aquatic Preserve|2007|Colored dissolved organic matter, CDOM|All|Lab|43|0|55|3|6.93023255813954|13.1590912785786|514
5|Big Bend Seagrasses Aquatic Preserve|2008|Colored dissolved organic matter, CDOM|All|Lab|12|1|7|3.5|3.75|1.76454990398015|514
5|Big Bend Seagrasses Aquatic Preserve|2009|Colored dissolved organic matter, CDOM|All|Lab|12|2|17|4.5|6.66666666666667|5.38235050602401|514
5|Big Bend Seagrasses Aquatic Preserve|2010|Colored dissolved organic matter, CDOM|All|Lab|66|1|19|6|6.40909090909091|4.34290676400486|514
5|Big Bend Seagrasses Aquatic Preserve|2011|Colored dissolved organic matter, CDOM|All|Lab|72|0|11|2|2.84722222222222|1.63293326517445|514
5|Big Bend Seagrasses Aquatic Preserve|2012|Colored dissolved organic matter, CDOM|All|Lab|66|1|45|5|8.04545454545455|9.77663119292722|514
5|Big Bend Seagrasses Aquatic Preserve|2013|Colored dissolved organic matter, CDOM|All|Lab|71|2|50|6|11.7323943661972|11.9007295652456|514
5|Big Bend Seagrasses Aquatic Preserve|2014|Colored dissolved organic matter, CDOM|All|Lab|75|2|50|12|14.6666666666667|11.3425810177465|514, 5002
5|Big Bend Seagrasses Aquatic Preserve|2015|Colored dissolved organic matter, CDOM|All|Lab|26|5|36|9.5|14.3461538461538|9.62057090901494|514
5|Big Bend Seagrasses Aquatic Preserve|2016|Colored dissolved organic matter, CDOM|All|Lab|20|6|100|21.5|26.3|27.5701974870273|514, 5002
5|Big Bend Seagrasses Aquatic Preserve|2017|Colored dissolved organic matter, CDOM|All|Lab|116|1|290|8.9|23.55|50.4728829476134|514, 540, 5002
5|Big Bend Seagrasses Aquatic Preserve|2018|Colored dissolved organic matter, CDOM|All|Lab|190|3|580|29|75.8821052631579|121.6232760017|514, 540, 5002
5|Big Bend Seagrasses Aquatic Preserve|2019|Colored dissolved organic matter, CDOM|All|Lab|92|2|111.41403|14.5|22.0128680434783|24.1028127589444|477, 514, 540, 5002
