ManagedAreaName|Year|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Big Bend Seagrasses Aquatic Preserve|1982|1|1.99|1.99|1.99|1.99||60
Big Bend Seagrasses Aquatic Preserve|1995|1|3.88|3.88|3.88|3.88||60
Big Bend Seagrasses Aquatic Preserve|2008|2|1.19|3.05|2.12|2.12|1.31521861300698|60
Big Bend Seagrasses Aquatic Preserve|2009|3|2.59|3.911|2.87|3.12366666666667|0.696074948071925|60
Big Bend Seagrasses Aquatic Preserve|2010|1|2.73|2.73|2.73|2.73||60
Big Bend Seagrasses Aquatic Preserve|2011|1|3.317|3.317|3.317|3.317||60
Big Bend Seagrasses Aquatic Preserve|2012|1|1.794|1.794|1.794|1.794||60
Big Bend Seagrasses Aquatic Preserve|2013|1|2.822|2.822|2.822|2.822||60
Big Bend Seagrasses Aquatic Preserve|2014|3|0.553|4.352|1.309|2.07133333333333|2.01096104719443|60
Big Bend Seagrasses Aquatic Preserve|2015|1|0.61|0.61|0.61|0.61||60
Florida Keys National Marine Sanctuary|1982|1|0.45|0.45|0.45|0.45||60
Florida Keys National Marine Sanctuary|1995|9|0.25|0.69|0.36|0.414444444444445|0.154362488246911|60
Florida Keys National Marine Sanctuary|1996|11|0.19|0.34|0.25|0.261818181818182|0.0509545251804355|60
Florida Keys National Marine Sanctuary|1997|19|0.29|1.03|0.64|0.608421052631579|0.21990561505374|60
Florida Keys National Marine Sanctuary|2002|14|0.18|0.88|0.44|0.471428571428571|0.217462893133771|60
Florida Keys National Marine Sanctuary|2003|15|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2006|30|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2008|18|0.42|16.82|1.245|2.29055555555556|3.71507971923369|60
Florida Keys National Marine Sanctuary|2009|36|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2010|45|0|0.9|0|0.02|0.134164078649987|60
Florida Keys National Marine Sanctuary|2011|16|0|11.94|0.71|1.50375|2.84105584833057|60
Florida Keys National Marine Sanctuary|2012|30|0|0.375|0|0.0817333333333333|0.125579740660537|60
Florida Keys National Marine Sanctuary|2016|16|0.105|2.65|0.308|0.4959375|0.616526773546778|60
