ManagedAreaName|Year|Month|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Apalachicola Bay Aquatic Preserve|2000|9|7|1.5|7.45|3.2|3.55428571428571|1.9787526133304|129
Apalachicola Bay Aquatic Preserve|2000|10|6|7.26|41.8|12.785|18.745|13.3096773063813|129
Apalachicola Bay Aquatic Preserve|2000|12|4|6.1|8.3|6.65|6.925|0.960468635614928|129
Apalachicola Bay Aquatic Preserve|2001|1|7|1.4|13.2|2.3|3.77142857142857|4.17959897825708|129
Apalachicola Bay Aquatic Preserve|2001|2|3|3.5|42.2|5|16.9|21.9232753027462|129
Apalachicola Bay Aquatic Preserve|2001|3|3|24.8|37.3|27.6|29.9|6.55972560401729|129
Apalachicola Bay Aquatic Preserve|2001|4|7|5.6|11.8|8.3|8.61428571428571|2.0755951527442|129
Apalachicola Bay Aquatic Preserve|2001|5|9|2.6|15.2|5.9|6.54444444444444|3.86558893026377|129
Apalachicola Bay Aquatic Preserve|2001|10|4|6.2|15.1|10.2|10.425|4.300678241084|129
Apalachicola Bay Aquatic Preserve|2001|11|3|7.1|41.3|22.7|23.7|17.1219157806596|129
Apalachicola Bay Aquatic Preserve|2001|12|3|2.85|41.6|7.88|17.4433333333333|21.0709191383132|129
Apalachicola Bay Aquatic Preserve|2002|1|3|3.1|13.4|4|6.83333333333333|5.70467644422831|129
Apalachicola Bay Aquatic Preserve|2002|2|3|3.4|15.6|4.6|7.86666666666667|6.72408605933426|129
Apalachicola Bay Aquatic Preserve|2002|3|3|1.2|7.3|2.2|3.56666666666667|3.27159492195066|129
Apalachicola Bay Aquatic Preserve|2002|4|3|11.7|22|12.2|15.3|5.80775343829264|129
Apalachicola Bay Aquatic Preserve|2002|5|3|14|58|16|29.3333333333333|24.8461935381123|129
Apalachicola Bay Aquatic Preserve|2002|6|3|11.5|19|12.9|14.4666666666667|3.98789836045671|129
Apalachicola Bay Aquatic Preserve|2002|7|3|5.1|33.4|15.3|17.9333333333333|14.3325968803052|129
Apalachicola Bay Aquatic Preserve|2002|8|3|9|15.2|10.6|11.6|3.21869538788622|129
Apalachicola Bay Aquatic Preserve|2002|9|1|32.3|32.3|32.3|32.3||129
Apalachicola Bay Aquatic Preserve|2002|10|3|6.21|9.47|6.61|7.43|1.77797637779584|129
Apalachicola Bay Aquatic Preserve|2002|11|3|2.9|7.4|5|5.1|2.25166604983954|129
Apalachicola Bay Aquatic Preserve|2003|1|3|2.73|5.86|3.35|3.98|1.65737744644966|129
Apalachicola Bay Aquatic Preserve|2003|2|3|1.29|8.1|3.54|4.31|3.46968298263689|129
Apalachicola Bay Aquatic Preserve|2011|1|1|9.3|9.3|9.3|9.3||355
